SNP,Chromosome,Position,DF,t Value,std Error,effect
GlymaLee.18G224100.1.p,18,58545198,NA,NA,NA,NA
GlymaLee.18G225400.1.p,18,58659934,NA,NA,NA,NA
GlymaLee.18G225500.1.p,18,58671308,NA,NA,NA,NA
GlymaLee.18G225600.1.p,18,58689333,NA,NA,NA,NA
GlymaLee.18G226800.1.p,18,58831089,NA,NA,NA,NA
GlymaLee.18G226900.1.p,18,58839992,NA,NA,NA,NA
GlymaLee.18G227000.1.p,18,58850534,NA,NA,NA,NA
GlymaLee.18G230900.1.p,18,59157190,NA,NA,NA,NA
GlymaLee.18G231000.1.p,18,59160283,NA,NA,NA,NA
GlymaLee.19G020100.1.p,19,2598576,NA,NA,NA,NA
GlymaLee.19G044900.1.p,19,9293330,NA,NA,NA,NA
GlymaLee.19G045000.1.p,19,9329028,NA,NA,NA,NA
GlymaLee.19G045100.1.p,19,9383562,NA,NA,NA,NA
GlymaLee.19G064800.1.p,19,32138111,NA,NA,NA,NA
GlymaLee.19G082300.1.p,19,37919939,NA,NA,NA,NA
GlymaLee.19G102100.1.p,19,40909598,NA,NA,NA,NA
GlymaLee.19G104400.1.p,19,41176240,NA,NA,NA,NA
GlymaLee.19G105400.1.p,19,41296502,NA,NA,NA,NA
GlymaLee.19G105500.1.p,19,41297779,NA,NA,NA,NA
GlymaLee.19G105600.1.p,19,41319036,NA,NA,NA,NA
GlymaLee.19G105700.1.p,19,41330334,NA,NA,NA,NA
GlymaLee.19G105800.1.p,19,41351425,NA,NA,NA,NA
GlymaLee.19G106900.1.p,19,41476747,NA,NA,NA,NA
GlymaLee.19G107000.1.p,19,41492664,NA,NA,NA,NA
GlymaLee.19G108800.1.p,19,41703233,NA,NA,NA,NA
GlymaLee.19G108900.1.p,19,41716789,NA,NA,NA,NA
GlymaLee.19G109100.1.p,19,41739366,NA,NA,NA,NA
GlymaLee.19G109300.1.p,19,41768435,NA,NA,NA,NA
GlymaLee.20G016500.1.p,20,2138049,NA,NA,NA,NA
GlymaLee.20G030500.1.p,20,7464752,NA,NA,NA,NA
GlymaLee.20G030600.1.p,20,7473942,NA,NA,NA,NA
GlymaLee.20G031400.1.p,20,7843068,NA,NA,NA,NA
GlymaLee.20G031500.1.p,20,7903128,NA,NA,NA,NA
GlymaLee.20G033100.1.p,20,8688047,NA,NA,NA,NA
GlymaLee.20G033300.1.p,20,8796485,NA,NA,NA,NA
GlymaLee.20G033400.1.p,20,8816283,NA,NA,NA,NA
GlymaLee.20G035000.1.p,20,9726307,NA,NA,NA,NA
GlymaLee.20G036200.1.p,20,10990898,73,0.119076064911641,NA,0.0840148440567674
GlymaLee.20G036300.1.p,20,10992199,73,1.41163791397158,NA,0.731789021075173
GlymaLee.20G036500.1.p,20,11048819,73,1.41163791397158,NA,0.731789021075173
GlymaLee.20G043600.1.p,20,20416633,NA,NA,NA,NA
GlymaLee.20G157800.1.p,20,45326607,NA,NA,NA,NA
GlymaLee.20G158000.1.p,20,45342653,NA,NA,NA,NA
GlymaLee.20G160000.1.p,20,45484513,73,-1.29306681870379,NA,-0.911440453067925
GlymaLee.20G170000.1.p,20,46391943,NA,NA,NA,NA
GlymaLee.20G170300.1.p,20,46396297,NA,NA,NA,NA
GlymaLee.20G170400.1.p,20,46397208,NA,NA,NA,NA
UWASoyPan00005,22,296,73,-0.434374159611001,NA,-0.104961568671497
UWASoyPan00022,22,958,73,1.17617812588708,NA,0.815009207346391
UWASoyPan00043,22,467,73,0.129979077027062,NA,0.0448924432703661
UWASoyPan00155,22,591,73,-0.245430644092767,NA,-0.0504401877186407
UWASoyPan00201,22,232,73,-1.38723049224242,NA,-0.718336772880965
UWASoyPan00202,22,273,73,-1.65803040388482,NA,-0.365046044373951
UWASoyPan00251,22,452,73,0.746547524978797,NA,0.168222797406633
UWASoyPan00276,22,126,73,-2.14121454173733,NA,-0.409120824332351
UWASoyPan00316,22,405,73,1.36256798550969,NA,0.466457688130969
UWASoyPan00326,22,266,73,-0.35327577951503,NA,-0.0732383464428721
UWASoyPan00427,22,933,73,0.650947653875079,NA,0.185723379368655
UWASoyPan00542,22,1252,NA,NA,NA,NA
UWASoyPan00670,22,177,73,-0.569101101839065,NA,-0.207408801805681
UWASoyPan00725,22,576,73,0.240449479951157,NA,0.0581607073756434
UWASoyPan00772,22,326,73,-0.36063330533925,NA,-0.0848693501128164
UWASoyPan00953,22,399,73,1.44685754275571,NA,0.275615076874784
UWASoyPan00975,22,499,73,-0.85273888316543,NA,-0.171743836302327
UWASoyPan01217,22,234,73,-1.47062384183303,NA,-0.409403117719435
UWASoyPan01253,22,473,73,-0.223358872163538,NA,-0.0517337139295146
UWASoyPan01320,22,297,73,0.504142972104301,NA,0.0962644647780087
UWASoyPan01330,22,494,73,-1.32719840739226,NA,-0.308380223698173
UWASoyPan01418,22,410,73,-0.343334049348182,NA,-0.0684683119914418
UWASoyPan01530,22,288,73,0.0103067814660577,NA,0.00192796884200508
UWASoyPan01729,22,359,73,-0.713464311286991,NA,-0.368361158023128
UWASoyPan01876,22,352,73,-0.991636206877657,NA,-0.234878171915924
UWASoyPan01973,22,270,73,1.26919626775363,NA,0.322998882916344
UWASoyPan02043,22,381,73,0.546093778092941,NA,0.151084272885547
UWASoyPan02496,22,266,73,-0.223422268811287,NA,-0.0460320985572125
UWASoyPan02799,22,488,73,-0.593769289930383,NA,-0.137216916502652
UWASoyPan03194,22,548,73,-1.14185573785159,NA,-0.291897533893943
UWASoyPan03230,22,272,73,-1.58526206096026,NA,-1.15033477572674
UWASoyPan03233,22,224,73,-1.80325935506558,NA,-0.761827222906617
UWASoyPan03261,22,320,73,0.870735560450009,NA,0.162445250445211
UWASoyPan03336,22,248,73,-0.0089155553003802,NA,-0.0028380459057189
UWASoyPan03340,22,887,73,0.89682428784824,NA,0.174253932356495
UWASoyPan03402,22,532,73,0.372105291641746,NA,0.0695945634270987
UWASoyPan04211,22,750,NA,NA,NA,NA
UWASoyPan04314,22,261,73,-0.151044908015188,NA,-0.0482254034499996
UWASoyPan04354,22,277,73,-0.851454323602452,NA,-0.309819023609534
UWASoyPan04757,22,270,73,1.54554445102188,NA,0.765835679222413
UWASoyPan04912,22,188,NA,NA,NA,NA
UWASoyPan04967,22,265,73,0.166190071349694,NA,0.0554550190148697
UWASoyPan05095,22,299,73,-0.354366740000488,NA,-0.247810521499174
UWASoyPan05312,22,248,73,0.159670225517199,NA,0.036017869755065
